2024-02-12,语文,背诵课文第二段,已完成
2024-02-13,数学,做10道题,已完成
2024-02-14,英语,听英语诗朗诵,未完成
2024-02-15,语文,写作文,未完成
2024-02-16,数学,做10道题,已完成
2024-02-17,英语,预习单词,已完成
2024-02-18,语文,背诵课文第二段,已完成
2024-02-19,数学,做10道题,未完成
2024-02-20,英语,听英语诗朗诵,已完成
2024-02-21,语文,写作文,已完成
2024-02-22,数学,做10道题,已完成
2024-02-23,英语,预习单词,未完成
2024-02-24,语文,背诵课文第二段,未完成
2024-02-25,数学,做10道题,已完成
2024-02-26,英语,听英语诗朗诵,已完成
2024-02-27,语文,写作文,已完成
2024-02-28,数学,做10道题,未完成
2024-02-29,英语,预习单词,已完成
2024-03-01,语文,背诵课文第二段,已完成
2024-03-02,数学,做10道题,已完成
2024-03-03,英语,听英语诗朗诵,未完成
2024-03-04,语文,写作文,未完成
2024-03-05,数学,做10道题,已完成
2024-03-06,英语,预习单词,已完成
2024-03-07,语文,背诵课文第二段,已完成
2024-03-08,数学,做10道题,未完成
2024-03-09,英语,听英语诗朗诵,已完成
2024-03-10,语文,写作文,已完成
2024-03-11,数学,做10道题,已完成
2024-03-12,英语,预习单词,未完成
2024-03-13,语文,背诵课文第二段,未完成
2024-03-14,数学,做10道题,已完成
2024-03-15,英语,听英语诗朗诵,已完成
2024-03-16,语文,写作文,已完成
2024-03-17,数学,做10道题,未完成
2024-03-18,英语,预习单词,已完成
2024-03-19,语文,背诵课文第二段,已完成
2024-03-20,数学,做10道题,已完成
2024-03-21,英语,听英语诗朗诵,未完成
2024-03-22,语文,写作文,未完成
2024-03-23,数学,做10道题,已完成
2024-03-24,英语,预习单词,已完成
2024-03-25,语文,背诵课文第二段,已完成
2024-03-26,数学,做10道题,未完成
2024-03-27,英语,听英语诗朗诵,已完成
2024-03-28,语文,写作文,已完成
2024-03-29,数学,做10道题,已完成
2024-03-30,英语,预习单词,未完成
2024-03-31,语文,背诵课文第二段,未完成
2024-04-01,数学,做10道题,已完成
2024-04-02,英语,听英语诗朗诵,已完成
2024-04-03,语文,写作文,已完成
2024-04-04,数学,做10道题,未完成
2024-04-05,英语,预习单词,已完成
2024-04-06,语文,背诵课文第二段,已完成
2024-04-07,数学,做10道题,已完成
2024-04-08,英语,听英语诗朗诵,未完成
2024-04-09,语文,写作文,未完成
2024-04-10,数学,做10道题,已完成
2024-04-11,英语,预习单词,已完成
