2099-11-03,语文,背诵课文第二段,已完成
2099-11-04,数学,做10道题,已完成
2099-11-05,英语,听英语诗朗诵,未完成
2099-11-06,语文,写作文,未完成
2099-11-07,数学,做10道题,已完成
2099-11-08,英语,预习单词,已完成
2099-11-09,语文,背诵课文第二段,已完成
2099-11-10,数学,做10道题,未完成
2099-11-11,英语,听英语诗朗诵,已完成
2099-11-12,语文,写作文,已完成
2099-11-13,数学,做10道题,已完成
2099-11-14,英语,预习单词,未完成
2099-11-15,语文,背诵课文第二段,未完成
2099-11-16,数学,做10道题,已完成
2099-11-17,英语,听英语诗朗诵,已完成
2099-11-18,语文,写作文,已完成
2099-11-19,数学,做10道题,未完成
2099-11-20,英语,预习单词,已完成
2099-11-21,语文,背诵课文第二段,已完成
2099-11-22,数学,做10道题,已完成
2099-11-23,英语,听英语诗朗诵,未完成
2099-11-24,语文,写作文,未完成
2099-11-25,数学,做10道题,已完成
2099-11-26,英语,预习单词,已完成
2099-11-27,语文,背诵课文第二段,已完成
2099-11-28,数学,做10道题,未完成
2099-11-29,英语,听英语诗朗诵,已完成
2099-11-30,语文,写作文,已完成
2099-12-01,数学,做10道题,已完成
2099-12-02,英语,预习单词,未完成
2099-12-03,语文,背诵课文第二段,未完成
2099-12-04,数学,做10道题,已完成
2099-12-05,英语,听英语诗朗诵,已完成
2099-12-06,语文,写作文,已完成
2099-12-07,数学,做10道题,未完成
2099-12-08,英语,预习单词,已完成
2099-12-09,语文,背诵课文第二段,已完成
2099-12-10,数学,做10道题,已完成
2099-12-11,英语,听英语诗朗诵,未完成
2099-12-12,语文,写作文,未完成
2099-12-13,数学,做10道题,已完成
2099-12-14,英语,预习单词,已完成
2099-12-15,语文,背诵课文第二段,已完成
2099-12-16,数学,做10道题,未完成
2099-12-17,英语,听英语诗朗诵,已完成
2099-12-18,语文,写作文,已完成
2099-12-19,数学,做10道题,已完成
2099-12-20,英语,预习单词,未完成
2099-12-21,语文,背诵课文第二段,未完成
2099-12-22,数学,做10道题,已完成
2099-12-23,英语,听英语诗朗诵,已完成
2099-12-24,语文,写作文,已完成
2099-12-25,数学,做10道题,未完成
2099-12-26,英语,预习单词,已完成
2099-12-27,语文,背诵课文第二段,已完成
2099-12-28,数学,做10道题,已完成
2099-12-29,英语,听英语诗朗诵,未完成
2099-12-30,语文,写作文,未完成
2099-12-31,数学,做10道题,已完成
2100-01-01,英语,预习单词,已完成
